,Unnamed: 0,Infix_Eq,Prefix_Eq,Working,Infix_Sol,Prefix_Sol,tmp,dreamcoder_steps,dreamcoder_metrics,dreamcoder_cscores
268,268.0,"(((1 / x) * x) + 2x) = 3x
",(= (+ (* (/ (1) (x)) (x)) (* (2) (x))) (* (3) (x))),True,x = 1,(= (x) (1)),268.0,unknown,unknown,unknown
241,241.0,"(1 + 2x) = ((-3) + -4x)
",(= (+ (1) (* (2) (x))) (+ (-3) (* (-4) (x)))),True,x = -2/3,(= (x) (/ (-2) (3))),241.0,unknown,unknown,unknown
186,186.0,"((-1x + (-2)) - 3) = 4x
",(= (- (+ (* (-1) (x)) (-2)) (3)) (* (4) (x))),True,x = -1,(= (x) (-1)),186.0,unknown,unknown,unknown
94,94.0,"(-1x + 2) = 3
",(= (+ (* (-1) (x)) (2)) (3)),True,x = -1,(= (x) (-1)),94.0,unknown,unknown,unknown
255,255.0,"((-1) / (-2)) = x
",(= (/ (-1) (-2)) (x)),True,x = 1/2,(= (x) (/ (1) (2))),255.0,unknown,unknown,unknown
173,173.0,"1 = 2x
",(= (1) (* (2) (x))),True,x = 1/2,(= (x) (/ (1) (2))),173.0,unknown,unknown,unknown
74,74.0,"(-1x + 2) = ((-3) + 4x)
",(= (+ (* (-1) (x)) (2)) (+ (-3) (* (4) (x)))),True,x = 1,(= (x) (1)),74.0,(= (+ (1) (/ (-2) (x))) (3))|1|(= (x) (-1)),5,42.883720930232556
97,97.0,"((-1x - 2) - 3x) = (-4)
",(= (- (- (* (-1) (x)) (2)) (* (3) (x))) (-4)),True,x = 1/2,(= (x) (/ (1) (2))),97.0,unknown,unknown,unknown
168,168.0,"(1 - 2) = (-3x - 4x)
",(= (- (1) (2)) (- (* (-3) (x)) (* (4) (x)))),True,x = 1/7,(= (x) (/ (1) (7))),168.0,unknown,unknown,unknown
123,123.0,"(-1) = ((-2) + 3x)
",(= (-1) (+ (-2) (* (3) (x)))),True,x = 1/3,(= (x) (/ (1) (3))),123.0,unknown,unknown,unknown
64,64.0,"((-1x - 2) + 3) = 4x
",(= (+ (- (* (-1) (x)) (2)) (3)) (* (4) (x))),True,x = 1/5,(= (x) (/ (1) (5))),64.0,unknown,unknown,unknown
68,68.0,"(1x + (-2)) = (-3x + (-4))
",(= (+ (* (1) (x)) (-2)) (+ (* (-3) (x)) (-4))),True,x = -1/2,(= (x) (/ (-1) (2))),68.0,(= (+ (+ (1) (* (2) (x))) (3)) (* (4) (x)))|(= (* (/ (4) (- (* (4) (x)) (* (2) (x)))) (- (* (4) (x)) (* (2) (x)))) (* (1) (- (* (4) (x)) (* (2) (x)))))|(= (* (- (4) (2)) (x)) (4))|(= (x) (2)),26,32.21212121212121
171,171.0,"1 = ((-2) / x)
",(= (1) (/ (-2) (x))),True,x = -2,(= (x) (-2)),171.0,unknown,unknown,unknown
187,187.0,"1x = (2 - 3)
",(= (* (1) (x)) (- (2) (3))),True,x = -1,(= (x) (-1)),187.0,unknown,unknown,unknown
135,135.0,"(1 + (2 / x)) = 3
",(= (+ (1) (/ (2) (x))) (3)),True,x = 1,(= (x) (1)),135.0,unknown,unknown,unknown
13,13.0,"((x - 1) - 2x) = 3x
",(= (- (- (x) (1)) (* (2) (x))) (* (3) (x))),True,x = -1/4,(= (x) (/ (-1) (4))),13.0,(= (* (1) (x)) (- (2) (3)))|(= (* (1) (x)) (- (2) (3)))|(= (x) (-1)),3,3.25
264,264.0,"(-1) = (2x + (-3))
",(= (-1) (+ (* (2) (x)) (-3))),True,x = 1,(= (x) (1)),264.0,unknown,unknown,unknown
78,78.0,"1x = (((2 - 3x) - 4) + 5x)
",(= (* (1) (x)) (+ (- (- (2) (* (3) (x))) (4)) (* (5) (x)))),True,x = 2,(= (x) (2)),78.0,(= (+ (* (-1) (x)) (-2)) (+ (3) (* (4) (x))))|(= (+ (- (* (4) (x)) (* (-1) (x))) (3)) (-2))|(= (+ (* (5) (x)) (3)) (-2))|(= (x) (-1)),12,34.65714285714286
