,Unnamed: 0,Infix_Eq,Prefix_Eq,Working,Infix_Sol,Prefix_Sol,tmp,dreamcoder_steps,dreamcoder_metrics,dreamcoder_cscores
240,240.0,"((1 + 2x) + 3x) = 4
",(= (+ (+ (1) (* (2) (x))) (* (3) (x))) (4)),True,x = 3/5,(= (x) (/ (3) (5))),240.0,unknown,unknown,unknown
65,65.0,"((1 - 2) / 3) = x
",(= (/ (- (1) (2)) (3)) (x)),True,x = -1/3,(= (x) (/ (-1) (3))),65.0,(= (+ (1) (* (-2) (x))) (+ (* (3) (x)) (-4)))|(= (+ (- (* (3) (x)) (* (-2) (x))) (-4)) (1))|(= (+ (* (5) (x)) (-4)) (1))|(= (x) (1)),12,35.666666666666664
45,45.0,"(1x - -2x) = 3
",(= (- (* (1) (x)) (* (-2) (x))) (3)),True,x = 1,(= (x) (1)),45.0,unknown,unknown,unknown
198,198.0,"(-1) = (((-2) / x) + (-3))
",(= (-1) (+ (/ (-2) (x)) (-3))),True,x = -1,(= (x) (-1)),198.0,unknown,unknown,unknown
246,246.0,"(1 / x) = ((-2) - 3)
",(= (/ (1) (x)) (- (-2) (3))),True,x = -1/5,(= (x) (/ (-1) (5))),246.0,unknown,unknown,unknown
182,182.0,"(1 + -2x) = (3x + 4)
",(= (+ (1) (* (-2) (x))) (+ (* (3) (x)) (4))),True,x = -3/5,(= (x) (/ (-3) (5))),182.0,unknown,unknown,unknown
124,124.0,"(1x + 2) = (-3)
",(= (+ (* (1) (x)) (2)) (-3)),True,x = -5,(= (x) (-5)),124.0,unknown,unknown,unknown
277,277.0,"((-1x - 1x) + 2) = (-3)
",(= (+ (- (* (-1) (x)) (* (1) (x))) (2)) (-3)),True,x = 5/2,(= (x) (/ (5) (2))),277.0,unknown,unknown,unknown
111,111.0,"-1x = (2 + 3)
",(= (* (-1) (x)) (+ (2) (3))),True,x = -5,(= (x) (-5)),111.0,(= (/ (1) (x)) (2))|0|(= (x) (/ (1) (2))),4,27.857142857142858
279,279.0,"1x = ((2x - 3) - 4)
",(= (* (1) (x)) (- (- (* (2) (x)) (3)) (4))),True,x = 7,(= (x) (7)),279.0,unknown,unknown,unknown
185,185.0,"1x = (-2)
",(= (* (1) (x)) (-2)),True,x = -2,(= (x) (-2)),185.0,(= (- (* (1) (x)) (2)) (* (-3) (x)))|(= (+ (- (* (-3) (x)) (* (1) (x))) (2)) (- (- (* (1) (x)) (2)) (- (* (1) (x)) (2))))|(= (+ (* (-4) (x)) (2)) (- (- (* (1) (x)) (2)) (- (* (1) (x)) (2))))|(= (x) (/ (1) (2))),20,25.23076923076923
