,Infix_Eq,Prefix_Eq,Working,Infix_Sol,Prefix_Sol
0,2x=5,(= (* (2) (x)) (5)),TRUE,x = 5/2,(= (x) (/ (5) (2)))
1,(x*2)=5,(= (* (x) (2)) (5)),TRUE,x = 5/2,(= (x) (/ (5) (2)))
2,(x+5)=5,(= (+ (x) (5)) (5)),TRUE,x = 0,(= (x) (0))
3,(5+x)=8,(= (+ (5) (x)) (8)),TRUE,x = 3,(= (x) (3))
4,6x=4x,(= (* (6) (x)) (* (4) (x))),TRUE,x = 0,(= (x) (0))
5,(3/x)=5,(= (/ (3) (x)) (5)),TRUE,x = 3/5,(= (x) (/ (3) (5)))
6,(3x+4)=5,(= (+ (* (3) (x)) (4)) (5)),TRUE,x = 1/3,(= (x) (/ (1) (3)))
7,(4+3x)=5,(= (+ (4) (* (3) (x))) (5)),TRUE,x = 1/3,(= (x) (/ (1) (3)))
8,0=(2x+7x),(= (0) (+ (* (2) (x)) (* (7) (x)))),TRUE,x = 0,(= (x) (0))
9,(3 + 6x) = 5x,(= (+ (3) (* (6) (x))) (* (5) (x))),TRUE,x = -3,(= (x) (-3))
10,(5x+3)=6x,(= (+ (* (5) (x)) (3)) (* (6) (x))),TRUE,x = 3,(= (x) (3))
11,(3x/2)=9,(= (/ (* (3) (x)) (2)) (9)),TRUE,x = 6,(= (x) (6))
12,(5x/5)=3,(= (/ (* (5) (x)) (5)) (3)),TRUE,x = 3,(= (x) (3))
13,1+2=4x,(= (+ (1) (2)) (* (4) (x))),TRUE,x = 3/4,(= (x) (/ (3) (4)))
14,(5x+1)=(3x+3),(= (+ (* (5) (x)) (1)) (+ (* (3) (x)) (3))),TRUE,x = 1,(= (x) (1))
15,(1+5x)=(3x+3),(= (+ (1) (* (5) (x))) (+ (* (3) (x)) (3))),TRUE,x = 1,(= (x) (1))
16,((-1)+5x)=(3x+3),(= (+ (-1) (* (5) (x))) (+ (* (3) (x)) (3))),TRUE,x = 2,(= (x) (2))
17,(1+5x)=(3+3x),(= (+ (1) (* (5) (x))) (+ (3) (* (3) (x)))),TRUE,x = 1,(= (x) (1))
18,(1+5x)=((-3)+3x),(= (+ (1) (* (5) (x))) (+ (-3) (* (3) (x)))),TRUE,x = -2,(= (x) (-2))
19,((-1)+5x)=(3+3x),(= (+ (-1) (* (5) (x))) (+ (3) (* (3) (x)))),TRUE,x = 2,(= (x) (2))
20,((-1)+5x)=((-3)+3x),(= (+ (-1) (* (5) (x))) (+ (-3) (* (3) (x)))),TRUE,x = -1,(= (x) (-1))
21,((5x+1)+3)=3x,(= (+ (+ (* (5) (x)) (1)) (3)) (* (3) (x))),TRUE,x = -2,(= (x) (-2))
22,((1+5x)+3)=3x,(= (+ (+ (1) (* (5) (x))) (3)) (* (3) (x))),TRUE,x = -2,(= (x) (-2))
23,(((-1)+5x)+3)=3x,(= (+ (+ (-1) (* (5) (x))) (3)) (* (3) (x))),TRUE,x = -1,(= (x) (-1))
24,((5x+1)+3x)=9x,(= (+ (+ (* (5) (x)) (1)) (* (3) (x))) (* (9) (x))),TRUE,x = 1,(= (x) (1))
25,((1+5x)+3x)=9x,(= (+ (+ (1) (* (5) (x))) (* (3) (x))) (* (9) (x))),TRUE,x = 1,(= (x) (1))
26,((x + 2x) + 5) = 8 ,(= (+ (+ (x) (* (2) (x))) (5)) (8)),TRUE,x = 1,(= (x) (1))
27,((3x+4)+7)=5,(= (+ (+ (* (3) (x)) (4)) (7)) (5)),TRUE,x = -2,(= (x) (-2))
28,((4+3x)+7)=5,(= (+ (+ (4) (* (3) (x))) (7)) (5)),TRUE,x = -2,(= (x) (-2))
29,((4 / x)*x) = -2x,(= (* (/ (4) (x)) (x)) (* (-2) (x))),TRUE,x = -2,(= (x) (-2))
30,(((4/x)*x)+2x)=3x,(= (+ (* (/ (4) (x)) (x)) (* (2) (x))) (* (3) (x))),TRUE,x = 4,(= (x) (4))
31,(((4/x)+1)*x)=5,(= (* (+ (/ (4) (x)) (1)) (x)) (5)),TRUE,x = 1,(= (x) (1))
32,((4/x)+3)=7,(= (+ (/ (4) (x)) (3)) (7)),TRUE,x = 1,(= (x) (1))
33,((-1) - 2) = ((3 / x) - 4) ,(= (- (-1) (2)) (- (/ (3) (x)) (4))),TRUE,x = 3,(= (x) (3))
34,((-1) - 2) = (((3 / x) + 5) - 9),(= (- (-1) (2)) (- (+ (/ (3) (x)) (5)) (9))),TRUE,x = 3,(= (x) (3))
35,(2x+5x)=(((-1x)+2)+6),(= (+ (* (2) (x)) (* (5) (x))) (+ (+ (* (-1) (x)) (2)) (6))),TRUE,x = 1,(= (x) (1))
36,(2+5)=(((-1)+2x)+6x),(= (+ (2) (5)) (+ (+ (-1) (* (2) (x))) (* (6) (x)))),TRUE,x = 1,(= (x) (1))
37,(2+5)=(((-1x)+2x)+6x),(= (+ (2) (5)) (+ (+ (* (-1) (x)) (* (2) (x))) (* (6) (x)))),TRUE,x = 1,(= (x) (1))
38,(2x+5)=(((-1x)+2)+6),(= (+ (* (2) (x)) (5)) (+ (+ (* (-1) (x)) (2)) (6))),TRUE,x = 1,(= (x) (1))
39,(((-1) + 4x) + 2x) = (-4x + 9) ,(= (+ (+ (-1) (* (4) (x))) (* (2) (x))) (+ (* (-4) (x)) (9))),TRUE,x = 1,(= (x) (1))
40,(2x - 5x) = ((2x - 1x) - 6),(= (- (* (2) (x)) (* (5) (x))) (- (- (* (2) (x)) (* (1) (x))) (6))),TRUE,x = 3/2,(= (x) (/ (3) (2)))
41,(2x - 5) = ((2 + 1x) - 6x),(= (- (* (2) (x)) (5)) (- (+ (2) (* (1) (x))) (* (6) (x)))),TRUE,x = 1,(= (x) (1))
42,(2 - 5) = ((2 - 1x) + 6),(= (- (2) (5)) (+ (- (2) (* (1) (x))) (6))),TRUE,x = 11,(= (x) (1) (1))
43,(2 + 5x) = ((2 - 1x) + 6),(= (+ (2) (* (5) (x))) (+ (- (2) (* (1) (x))) (6))),TRUE,x = 1,(= (x) (1))
44,(2x - 5x) = ((2 - 1x) + 6),(= (- (* (2) (x)) (* (5) (x))) (+ (- (2) (* (1) (x))) (6))),TRUE,x = -4,(= (x) (-4))
45,(2x - 5) = ((2x - 1) - 6x),(= (- (* (2) (x)) (5)) (- (- (* (2) (x)) (1)) (* (6) (x)))),TRUE,x = 2/3,(= (x) (/ (2) (3)))
